attacker,categories,sandwich_count,profitable_count,win_rate,usd_total_profit,usd_avg_profit,sol_total_profit,sol_avg_profit,jito_count,jito_rate,mean_slippage,median_proximity,fg1_ratio,fg100_ratio,in_block_count,cross_block_count,multi_split_count,n_signing_keys
HqXf7BH8F35yyZnRrCMgGgj2yWUqdr8nGvH7ZC9xW1HB,['standard'],2346,2184,0.9309462915601023,75123.62298457234,32.022004682255904,877.9996797270118,0.374253912927115,0,0.0,0.9224308989261916,19.0,0.049872122762148335,0.8009377664109122,1710,636,0,1
7CtW3vMTyNm9u8ByWWoTjGg7XYZteUjYwjEevHypVHb4,['standard'],2366,2201,0.930262045646661,74564.9714165557,31.568573842741614,871.4704965179121,0.36895448624805766,0,0.0,0.8987427147880218,18.0,0.05029585798816568,0.7983939137785292,1723,643,0,1
7nCRbePZDbVyybQjZx5qXFh4NnBadVNSV13Djef6z7R2,['standard'],2359,2175,0.9220008478168715,74430.71410988989,31.578580445434827,869.9013779428162,0.3690714373961885,0,0.0,0.9241510363965255,19.0,0.047901653242899536,0.7918609580330649,1696,663,0,1
8qAsHZNPsWriCcPfkjcDwTSM5iWHK84RWUXL5V3ZSX1F,['standard'],1524,1379,0.9048556430446194,46804.95902343802,30.752272682942195,546.3327256197963,0.3591931134909903,0,0.0,0.9553682944218761,28.0,0.0583989501312336,0.6751968503937008,1003,521,0,1
6m4bqcJyyrvSoyi4hDs4UktW2VarSyJ8caTrPCU2NwR,['standard'],1442,1307,0.9063800277392511,45094.905106205435,31.33766859361045,527.0421029707178,0.36625580470515484,0,0.0,0.9457548823358324,26.0,0.060332871012482664,0.6941747572815534,978,464,0,1
FSSFn3JDeo68dyyzuzSCEYiymXwD82iXrPKG4nqdSfFE,['standard'],1044,980,0.9386973180076629,38386.94800296754,36.87507012773059,448.6435386539394,0.43097362022472563,0,0.0,0.9303641187950896,20.0,0.05747126436781609,0.7212643678160919,714,330,0,1
E45YLW6LV2GdvPu4HgpBMZF4veGmUqbK6hs2W3ykx2s1,['standard'],3538,3482,0.9841718485019785,32874.269790920516,9.347247594802536,384.2146744388928,0.10924500268379096,0,0.0,0.9758796394664181,13.0,0.11136235161107971,0.7981910684002261,1257,2281,0,1
4hASKAobJourFvMS5SktVhB8B4mnPXUzekdS3ihm1VGg,['standard'],1317,1147,0.8709187547456341,24209.3859688125,18.480447304437025,282.9447287355958,0.21598834254625632,0,0.0,0.9544192148353936,41.0,0.053910402429764616,0.659832953682612,948,369,0,1
DDm1Bc9KuXB7Q2UbxyMRLGmbcV2J93xmiWDPt7Edhqbs,['standard'],1270,1100,0.8661417322834646,24026.712458073907,19.08396541546776,280.809750714687,0.223041898899672,0,0.0,0.9569258016674205,52.0,0.051181102362204724,0.6078740157480315,900,370,0,1
F8LoqWUjjbD3xqHfrYAffPZMCoNjwbB1jQC3k6MWgfbs,['standard'],1262,1090,0.8637083993660856,23881.651948522103,19.105321558817682,279.1143708079741,0.2232914966463793,0,0.0,0.9444880856006358,47.0,0.05071315372424723,0.6251980982567353,899,363,0,1
qKpZbAeu97Ba4sgpRqEehXD7dSwxWW59pNQkWSxsySJ,['standard'],361,317,0.8781163434903048,22516.99238379179,62.72142725290192,263.165051364,0.733050282350975,0,0.0,0.8114465789525668,12.0,0.06925207756232687,0.853185595567867,208,153,0,1
7FovysP3MGZjFb2MRPtQPn27Ntejdjot2u2WAyL1fUaA,['standard'],363,337,0.928374655647383,14341.237338399844,39.50754087713456,167.61174833900094,0.46174035355096676,0,0.0,0.8876151760473177,32.0,0.024793388429752067,0.6363636363636364,149,214,0,1
DULT2qC5mH15gxTKbrFgxEVHrNeKbkAkNYoq4gU5knL8,['standard'],1855,1818,0.9800539083557952,10925.161639308228,5.915084807421889,126.3948567650086,0.07002485139335657,0,0.0,0.9323033581516057,37.0,0.0431266846361186,0.6690026954177898,584,1271,0,1
EgQX9R3Qph1dPHE1Ysou1auSYqRGomCNmLDC28Yg77aq,['standard'],2113,1876,0.8878371982962613,9566.760351679264,4.54046528318902,111.81053563570067,0.05306622479150483,0,0.0,0.7764152034904376,23.0,0.07998106956933271,0.6942735447231424,5,2108,0,1
13H2M1C3w2pwr6oYf6ZKcPGNut6mQedRAFzCpMF2iGJK,['standard'],2785,2326,0.8351885098743268,5727.528096825399,2.0565630509247392,66.93990032500014,0.024035870852782814,0,0.0,0.78059784669413,17.0,0.07827648114901256,0.7217235188509874,0,2785,0,1
