attacker,bot_type,categories,sandwich_count,usd_profit_net,usd_avg_profit,sol_profit_net,fee_sol_total,win_rate,sol_win_rate,mean_slippage_consumption,slippage_coverage,front_gap_median,front_gap_eq1_ratio,in_block_count,cross_block_count,cross_leader_count,multi_split_count,jito_bundle_count,first_slot,last_slot,expert_verdict,n_signing_keys
7CtW3vMTyNm9u8ByWWoTjGg7XYZteUjYwjEevHypVHb4,Signal Bot,standard,9611,274537.59662921535,28.5649356600994,3421.3786066646917,12.256740923,0.9206051121544079,0.9210884353741496,0.9743762802684713,0.7549682655290813,22.0,0.05785037977317657,6483,3128,583,0,0,411635601,428109502,yes,1
HqXf7BH8F35yyZnRrCMgGgj2yWUqdr8nGvH7ZC9xW1HB,Signal Bot,standard,9606,267108.3471007977,27.80640715186318,3327.286741857971,12.331412885,0.917771052906188,0.9177307933849697,0.9756439380447209,0.7583801790547574,24.0,0.05100978555069748,6504,3102,569,0,0,411642448,428109500,yes,1
7nCRbePZDbVyybQjZx5qXFh4NnBadVNSV13Djef6z7R2,Signal Bot,standard,9249,266299.89267091756,28.792290266073906,3317.2525062444693,11.776240747,0.9192586973013981,0.9193390585933253,0.974768874985543,0.7467834360471403,22.0,0.055249216131473676,6216,3033,509,0,0,411634571,428108841,yes,1
E45YLW6LV2GdvPu4HgpBMZF4veGmUqbK6hs2W3ykx2s1,Signal Bot,standard,21622,197152.17134864858,9.118128357628738,2449.8344501751076,92.923458781,0.9825567837321021,0.9824865371107468,0.9724771524006623,0.9580982332809176,14.0,0.10822310609564333,5533,16089,8412,0,0,408672190,428109577,yes,1
F4qeu5kVdwepwsY1JwSHQ56G5wPJ11bpPKGeewbujDRK,Signal Bot,diff-signer-owner,5441,142989.08200156927,26.279926851970092,1787.363525019616,6.001399997,0.9240948355081786,0.9240948355081786,0.9744938030362328,0.7504135269251976,23.0,0.06267230288549899,3675,1766,319,0,0,413855883,428111062,yes,2
93kgxYKex5wPyEkjH9P4KspLFAi3fdWBkw8vZce51pbp,Signal Bot,standard,2635,91122.84256185545,34.58172393239296,1138.2752987256931,131.079603731,0.9166666666666666,0.9166349448039589,0.9778863066113932,0.9290322580645162,9.0,0.1730550284629981,8,2627,1946,0,0,408720873,427987644,yes,1
7q15WZ4iSUDvqfs5Kdh9bfptkQhs6qKUyCUq6GY6PGxg,Signal Bot,standard,5536,68501.82647173804,12.373884839548056,856.152328143098,0.658649676,0.9643135725429017,0.9643066120538326,0.947162067096458,0.8863800578034682,71.0,0.031972543352601156,618,4918,2515,0,0,408674318,428089185,yes,1
8qAsHZNPsWriCcPfkjcDwTSM5iWHK84RWUXL5V3ZSX1F,Signal Bot,standard,1684,47384.695474571,28.138180210552854,592.3086934321375,2.0157761290000002,0.8940476190476191,0.8940476190476191,0.9739655285856071,0.7737529691211401,34.0,0.052256532066508314,1034,650,104,0,0,409875475,411631844,yes,1
6m4bqcJyyrvSoyi4hDs4UktW2VarSyJ8caTrPCU2NwR,Signal Bot,standard,1584,45913.913075683755,28.986056234648835,573.9239134460469,1.790315831,0.8962025316455696,0.8962025316455696,0.9729792688937747,0.7638888888888888,31.0,0.054924242424242424,1008,576,92,0,0,409875470,411631854,yes,1
iK7BmyUoFm2GDXfXSi61u94kJXSFyknFnGFQukbF2bb,Signal Bot,standard,3766,45134.42704194993,11.984712438117347,564.1803380243741,33.816714754,0.9093384154641982,0.9093384154641982,0.961026917318382,0.9110462028677642,23.0,0.058417419012214554,367,3399,2138,0,0,408672190,428088614,yes,1
2fNPNJKE3ny6b5Vo1wdfa7J7KqYNjeyBM3PbGGSJ398r,Signal Bot,standard,3184,41148.9897896852,12.923677697765452,514.362372371065,0.466378398,0.9893617021276596,0.9893617021276596,0.9562356808043805,0.8734296482412061,73.0,0.038316582914572864,237,2947,1616,0,0,408674157,428049951,yes,1
C7y4i7Pcir9xmotVyUb3S9Mz1cnjmpxGKyGDj7vWnoza,Signal Bot,standard,3633,39978.04581767207,11.004141430683202,499.7255727209009,0.447175992,0.9806900918012029,0.9806900918012029,0.957039132586258,0.8959537572254336,63.0,0.03826039086154693,461,3172,1597,0,0,408807170,428043275,yes,1
FSSFn3JDeo68dyyzuzSCEYiymXwD82iXrPKG4nqdSfFE,Signal Bot,standard,1149,38414.491109364164,33.43297746680954,480.1811388670521,1.399300282,0.9301919720767888,0.9301919720767888,0.9710298356974125,0.7232375979112271,23.0,0.05483028720626632,731,418,68,0,0,409875556,411631846,yes,1
