slot,front_sig,back_sig,front_signer,back_signer,front_program,back_program,front_sell_amount,front_buy_amount,back_sell_amount,back_buy_amount,victim_count
408675645,pQjmKPDoLNG9q7cbWWG6RmdawPJDrHo9dZ36152ADUSnpWTzyk2b55JRhLcfWjmhzqDBsUzu55jGdzSDRBeWWXJ,jBbJT6rE35kXTSm15g9P1WZT7CtuYbM4WhhoQPyau3f7XNFWBr4C7Yz9KvMpkYRmGwDvvBvhwFRuK9sb2NYUVM3,4hASKAobJourFvMS5SktVhB8B4mnPXUzekdS3ihm1VGg,4hASKAobJourFvMS5SktVhB8B4mnPXUzekdS3ihm1VGg,8jXneHCUpbGQpSmSz9TgJhhXCW2vJyzbtXZLT9xrLyon,8jXneHCUpbGQpSmSz9TgJhhXCW2vJyzbtXZLT9xrLyon,4.939,"24,738,130.","24,738,130.",5.081,1
408675681,3uZrLGMidcwfzZFbUNy5zJr6zP5p5tFcocwC3BEmT8wdLjYRqLEoSF4YyLWXbZKftCiQjFKcBHByf3o7ExUCZEZV,4BVYwjZX2C7GjYyG8iJJZJNZ43mTXeCAToKfPpzyoyq1EBuBrR51ApjppQbjDANjSzkrgM6t4XU5j7vseG4PDoPo,FiAPe3q5TFYfYu4fP2ySMLRE9qfkAEYLsk2JaPaavvuW,FiAPe3q5TFYfYu4fP2ySMLRE9qfkAEYLsk2JaPaavvuW,Bgo4vNe3vxRv37j8mmQarJo8vbjHEKgkhJDZzxiizBid,Bgo4vNe3vxRv37j8mmQarJo8vbjHEKgkhJDZzxiizBid,0.99,"1,889,417.0","1,889,417.0",1.004,3
408675998,3e3aEFg6Sn5T6b1HwztsGmxKHLPPgQ2M51ZPmp3iKtef87pgn3sDVwHt4YrtPHS66SEwpBndw6NhUZcX2HkRVryx,3XoHLY5X2Y1sG1xL83VantybrgCpW1H7PLvZarty2QYveLyw3kxSmdLWkzjp24p9A6hwePXkXr99nk7L7hFCsVyn,GsF5rKcsvvd2oSVxVWcgqHw2dmxWgPmYP5AkiAjEAdKK,GsF5rKcsvvd2oSVxVWcgqHw2dmxWgPmYP5AkiAjEAdKK,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,0.0001,13.295,13.295,0.000108,4
408676118,4iabSarSx7DxtQ8VHs7Q7VXiJ7x61uQQHSKM28Uwam6EQ3zsPHopSxCERYfFsvBgZD67uyoMT2YtBpcBib76pVjg,CKMZA53CFTeLrKNe5HWaxEejujR8gezynFE7B8nbq5VTd3rJVqDjSkxrWL8rmP5ZXi35fmaeeKiGV59eVQ8S9jn,E45YLW6LV2GdvPu4HgpBMZF4veGmUqbK6hs2W3ykx2s1,E45YLW6LV2GdvPu4HgpBMZF4veGmUqbK6hs2W3ykx2s1,EpjnUueXY3MmZZw2n8FobumsJpZN6kTUB8mREr2SKXRW,EpjnUueXY3MmZZw2n8FobumsJpZN6kTUB8mREr2SKXRW,1.261,"2,237,475.6","2,237,475.6",1.329,5
408676137,35oc1EL1QrnBjKtDzGmCxiuqfXpot6X8KjcMVXs62bhXCHuM1wHGeUHcLuAGdNzbGne2bQUUXSiyRCKGnFVMZkvx,2vUJ8bzam7Q2hCZCFoJhZGTjXK3k6pzMTBEFqRKFBo2coVHhNizKSFeMwbpvZEqv9ok1m9KU1NfirZvf2d3xPZT8,E83eNNN1shaMN84bmbrrQRhQ4xwiC4v7Ewh9arhufiae,E83eNNN1shaMN84bmbrrQRhQ4xwiC4v7Ewh9arhufiae,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,"1,498,823.6",0.973,0.922,"1,546,980.8",5
408676140,2fZEGoyGNyydc2b4Hk3H3kUR6fYfXvYYCuVXrwzxjWiAmvKpPUpHgp8yRgBSEVSGgn84gmC1w4bqT4sn8EMvCvUj,3kt4ccmVSRYudtW3rbXB793SCjjGR8xvUZAvDvG39RZGPGnYhY5jRLEdYRfpr1GiC2UJfQ2EtC3p6mvuPTP8x9tK,LUXrU5tGWemJxvqDeqSXANqLc8F31vVLgeYNzFrozdc,LUXrU5tGWemJxvqDeqSXANqLc8F31vVLgeYNzFrozdc,4WYNb3xxJRVUadXRDE1q3FyzMdQ2zzzEijdR1S7pGLMu,4WYNb3xxJRVUadXRDE1q3FyzMdQ2zzzEijdR1S7pGLMu,0.99,"1,770,748.3","1,770,748.3",1.035,6
408676309,3ZNZK6XgakWotjqe8hJumsTtfQoHNr1TrKNk7f7qYMfKqtNpKJnvPLzePeHpY88u3HFQTk8h4otPqDzm6uXbg4zu,5tQ7dXdEto415oh3tMgKsv1VhCNJdsg9zhvzcB4EzpwTaKTNkHTrRmc94bsNHxkftaUn3PbZxFoi1Nhr79bqb5Nk,7wjiJUPB9Gdms7gkBvL2iGcBKXN5FdbhwcMXVvZhTyDx,7wjiJUPB9Gdms7gkBvL2iGcBKXN5FdbhwcMXVvZhTyDx,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,"3,891,125.6",1.034,0.974,"3,984,555.6",8
408676672,4iND3ZMvbYEApPE6VfyUFatvaEc88RoX1JQb3LD632hW1VTPvNXi9Pe9nJij6Et2xdoSFKBDs3kXA3oXykryGaUG,2RAvczctzvaKwm3Pr57VKUSuy7wGhoezZa2ajbTkFQNyCkFaXMBEre2F8aRySEvZtKh9Th3aG8jaeWsdV334u2Sr,4jqxwTzwa8GMDKR2HNegjNSCEHxEwdfDxZ5k6yrFkGBD,4jqxwTzwa8GMDKR2HNegjNSCEHxEwdfDxZ5k6yrFkGBD,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,109.749,0.0001,0.0001,109.749,5
408676886,2ZyRaVj14xXSQau4g49ko7VhoT2w6YnAPVrbG8BTB2Q4PKg1sJ26zYCUhwKHoCC8kMGXT9ueVKL6sgrfigqcECzZ,5f9a9Sdc1BtJrWeibD8ZLDG8GfvkRZjy9Qn3cbrmtTkTifARyJiuhzCQ7ApvLHDYdGQQVLDfT92FkSF3vaHKXZm6,2cv7M1TVGe61T1YMqfwmCrVUpVzm6af4bpB9ENnFjkm8,2cv7M1TVGe61T1YMqfwmCrVUpVzm6af4bpB9ENnFjkm8,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,1.652,0.0001,0.0001,1.652,2
408676920,2An3Vxg6UWxPVPB6mBX5QXEmqWPmGN38m7TwKjJTsAWes3LGN9jBgqLijmEheWwLJMVQNLtVoKZSG5gyo78K3MgL,isTLBmmacX6VkuCc2XmEsC49CkUNGRSdNVpnwzZsWkY79K8uLPYthjTGTxcpvneRQBRuk44BKJ7FmAsBpAAtqQg,Ehe7umWWuZDRNzYrKq8shvv98GqaB5QqzmHQ3WRj6NJq,Ehe7umWWuZDRNzYrKq8shvv98GqaB5QqzmHQ3WRj6NJq,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,1.338,0.0001,0.0001,1.338,1
