token,sandwich_count,usd_price,symbol,name,decimals
SOL,638804.0,,,,
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6052.0,1.0006491221404592,USDT,USDT,9.0
3BHhMXMyyGGzLcTk6u5iJwTcV7eEGG9bWJrTKUttpump,4749.0,0.0002084087766391,FML,FML,9.0
pixvL7orpc8AfVUmeQ3kJZ588EegnXSQd7UW4TcVzDk,3803.0,6.16295988835928e-06,PIXELS,One Million Pixels,9.0
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1553.0,0.9992764109985528,USDC,USD Coin,9.0
FzaCYkfFyTYUN2whdXzBC4LX5gFuzL2yPFTnrGDKr5xj,2236.0,2.131236369399457e-05,NGOGO,The Ngogo Chimp War,9.0
6MFiqqkS4MUwmkoa8sj5UJcFzJGVxHD1yEpoyRRUdoge,2310.0,0.0001638450122009,TARO,Ryotaro,9.0
Cu5F5Ae263EHAmYQPyEJwYRuSakA75fg5Qfge1pBYYWQ,1377.0,9.1781105360169e-05,CORG,Corgicoin,9.0
MEGfCXdgAtY2YuvQQ6gE5KWpHMUeuFWSYumre5BLGnr,1545.0,2.60861390124456e-06,MEG,The Whale Destroyer,9.0
5A1UJXf5W4d1gavspybe1VxQf2SkcL7GhnfEVP6PvdR6,1159.0,9.0672918965247e-05,SMILEY,The Emoticon,9.0
AXgWwHWdK9jRrG1nq2W3rP5EgvmVm5ij2WgdWSZBNUi6,1134.0,7.8722331558204e-05,MMGA,Make Memes Great Again,9.0
9Gy4XaZJXS86VHCkva5BXBCT2zDReaRTkN2yz2gJz2F5,822.0,,,,
3fAZgNbHthMzBtidx1zFeYLDCSWGJBQzKGNh6Ddp88TA,641.0,,,,
5cqzpaGQ8URCnAdST8MmBaaAKt9RyxYUSi7eC8UW9Rcw,313.0,,,,
5aC9R2yHwFwHWsU2QfWNZmpMjS58WCXpX9wwqLzYbjsQ,774.0,8.2341788859603e-05,greencoin,your port needs a green coin,9.0
2oXAPj5GmnTZrpYg8puMa47bZ5gVyxVupAwuv6j6MV7P,755.0,7.9169876626201e-05,RPU,Rocket Pocket Underpants,9.0
7zbNXd52DhRF5N4fF2ediYWNczWUj1PBxMrgaJgAmog7,410.0,,,,
4KmQreWs54NPTwazuHW576oDprpX2VXHFEhAJM2ciuar,773.0,7.8800764216042e-05,LDOGE,LiteDoge,9.0
Gq5y8F7abq5eyb4bDUzacXf736NdxWq6jFBE4BwBpVSo,523.0,,,,
HWeYdKa7KGZVc1rxoJd3cZoZnwyVkWPjdRXnrZvgQspU,747.0,8.6730815526908e-05,One,If memecoins have a million fans,9.0
G4tGpnwUbUDjKTJtkQebTG8gqnpqKPiz273AuDWTAe4V,353.0,,,,
AgaqHmo65ARWPfpeiXyCr1hN6es3s87W3u5aJV4WZ5RD,652.0,8.2978066835665e-05,JAKE,Jake The Frog,9.0
FVo4K9FtXg9A4M6cAovqm4qgM7ALUpgei2da4D6R9FXb,659.0,0.0003958856400605,AMURICENS,amuricens,9.0
DzS8UWPsF4F5Poe8zqHo4Sms8RB2tbFnXjwSu6W9FrXb,499.0,,,,
ALDjG5HfqXxPuq9Tn4RdPYW4TDrCw7LAXvtz5oz4H7ER,269.0,7.9269905315e-08,WRT,World Rebuilding Trust,9.0
8SC9X2zQLpdDsDF1h79HZtPqLGoYYqz5dJivbyqPpump,484.0,4.881060290797e-07,Theitle,A Rong Time Ago Cat,9.0
7teTz1YiuTvJXBjV3rAVSZ1ppUnZDbyp33KsxM4Epump,817.0,2.97076016030584e-06,uhoh,BOOP FLASH,9.0
Ay6SJL5uNb5eM5qMezMe3eVSxWGHJCjTg4rpr45aiKGz,590.0,7.9641747936768e-05,amewica,amewica,9.0
ChNrhBZwGtn1ZRsrdzcuBqiKTYfVViCPZqJdsgBHpump,542.0,6.686017924853883e-05,APES,Apes Together Strong,9.0
2RNsX1HvU2k3w4Z4JanHMgRLWtKCbWsiWptujeViBZjv,436.0,,,,
oYnqnbLa8duroUumiEqqk4tpYUp5Scp6CpfTmByAr2h,588.0,7.9112834965124e-05,京东🔥,京东,9.0
9nCEihCFVwxweHiVjScryCzQximbgqcgvejxs1vL7UCy,105.0,,,,
7EWPVgJfKBofbkoEHHJ3N7URUv83Rc8NU51rKMPXwfzi,552.0,8.7074040515733e-05,Price,Price Is The Narrative,9.0
9VpGfajiGvR3hyFaeeJNembWFZopNrE8ejrUhu3VVUmd,500.0,8.3439538462519e-05,RESETTI,Mr. Resetti,9.0
FtBfiTcbEJqYSRa3dhSeJ2GtZzsKbfwKkDYc4GB4Ywtt,259.0,0.1690440826288275,VDOR,Vanguard Digital Oil Reserve,9.0
GKtg7cDzfLPvFd8gWBLAgeC7S9RYSGeG7tm4KgXxdFQ5,559.0,9.1071975993403e-05,雪山救狐,Snow Mountain Saving the Fox,9.0
6GkZeAQiL2jdYkBLj4AN6e9S7CMwYBgJTs64tE1GdcwQ,175.0,,,,
E2TmuZpuRGBbwVxGDeKtz24qbD17YZNBajN8AMFmQXcN,553.0,8.0158418336693e-05,DUMPTRUCK,dumptruck,9.0
EfhsQU7GXohEDMgy33e44ifhpKE6CV2p6NecmhECjGML,491.0,7.8842033484403e-05,Shiva,Queen Shiva,9.0
596BtDCAc4jXynyviYcwQT4Qv74ALWT9MJqKKZumbopB,498.0,9.1940793113145e-05,Circle,Circle,9.0
9f8YtUJeLKrc6U8CVbpvKHMTtwttJafuHcdvzv2LShpr,234.0,,,,
HGW3kKd97oJ7P5s9yMGz7zjTUCy6etfcxdLTMTV3WRW6,445.0,8.3098237049931e-05,NPC,npc,9.0
BcDfZ7DVNKAdd9EXEb7WpVHDUo8vyVCkQ1yJZKahzWNS,446.0,8.2319607037153e-05,tronks,tronks,9.0
B5G8BBMUy5eE6outHJxpf1aodHYg9PP1nNmWpQqsohPn,466.0,8.0169103038089e-05,pupu,pupu,9.0
Gqt85gRB2aQPLQShK9c6BNFHiwb61Mf4oJfoYXB5pump,451.0,1.84443443027865e-06,ARCANE,ARCANE,9.0
9tFJcPHxMaMci3yBDDy7PeqZdGuR5D9q4Fg2UrHdNxBw,470.0,7.9694705579732e-05,Nibblet,Nibblet,9.0
DGVGZz68goNYtTPJPMo43bKQ64qrY2borK1ApgLyeFZy,444.0,0.0004071817908203,O2,oxygencoin,9.0
HQ6pgLrX8ssLaqNp4UiTqMXNo4uAANLn8kVrS9ivTqtK,337.0,,,,
By2NSnVDEHVG9en5poJR9TVHsPMBRxD2yBGGPTX2irRa,414.0,0.0003827289582767,BabyTrump,Official Baby Trump,9.0
EsTT5Dyy7KfodjDYQd29EGSS25XgBTotWrsKJRK4UYoY,483.0,9.2229018534053e-05,Apple,Apple Coin,9.0
7YDFYyMYMVEwwetBZF51KSnc2MhEnUUXqAnEoW6UNTP1,517.0,8.0219624150537e-05,durr,durrcoin,9.0
8saCbc7EYQFS3dTNAwm6m7W7kT4gnjGmYPDRmbKf9yEn,804.0,,,,
43Moo5NhMPXsNWpUSBRRFL6ivtPGLY1AkJU3BhMLMeo2,774.0,,,,
USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,697.0,1.0,USD1,World Liberty Financial USD,9.0
AZ8U4P4XwNzhpxU6G4mRFsSwJvt9pqevadwAKXSQ2wFX,410.0,8.3000830956734e-05,Solly,Solly,9.0
DciN3be9AAVibiexYdqBgFArPzPpYbNJ3nM8QVxRbKLp,425.0,7.9787845340244e-05,PRANK,Its Just A Prank Bro,9.0
4QFsajiToreSFKQGZP4goHSmWgVbTxPU5GfShBEpPmKt,722.0,,,,
6zYof8YqhhM5PygHhDdpcjwZAASkeX1paBu5j3wpq3mq,258.0,,,,
DUwibsXLgnhQjSY7AuzFJboiKzWzVzyu3QLDHh3TWw5e,391.0,8.3390550367625e-05,Pampas,Pampas Cat,9.0
CRYQ6k69qv1nPfA8LR7tUba9Lig5UCLPdfvey8U1g3zU,335.0,8.9039873930982e-05,CATFISH,Catfish,9.0
CsPatNj8DP2u7fo2FjK2LTM7wBARk1sH1hVSxngxat9v,390.0,8.6057989252792e-05,FREEDOM,freedom.gov,9.0
BTKtfyML78dSuyvXGUTevsj9RyysSspGTMEXTFM6oboh,331.0,8.2948409726417e-05,JOBLESS,AI Took My Job,9.0
Ev6bZjx7ZzJUqoQqnBa3w8rKYhqFPXGobKr6CossRvQp,185.0,1.13404534815912e-06,IRAN,Iran Oil War,9.0
Df3pLe99ESft44uLc4kJ87G7H3uiUfkEGYgdQvw3nt1W,340.0,7.9317330958132e-05,Artemis,Artemis,9.0
93xxx6TnNQ6SnpyDaBGMf1DqJdAKgEVXtzdJngRaFyc4,658.0,,,,
CUAWN5mCapHkCvgw2FfWzAVKKFBvbQjVcMpVxn5aWAqM,658.0,,,,
ACmLFhnE6LUHaUi4svwYzW5GP5wDEdZRmsuXA8r7zTQs,360.0,7.9228572252087e-05,Gulpo,Gulpo,9.0
EZthvxffiJekWu8HfA8HFhuuLZin7ohztcQQKughfsR1,379.0,8.3475036197347e-05,PQC,Post-Quantum Coin,9.0
8FX7yjF3wm4o9CXUPFTBd258DP6AhWSBB9dhPXVq6wiQ,645.0,,,,
xHUwj2Zh9dbP8gtjj86Mei1QkxYDr2Ujo3JfrVRpump,648.0,2.47751720531388e-06,TIRED,Tired Of Everything,9.0
FYU4FETwdxnzNrHvQhJDUnnniEPLzK84Mb1VFXKG91L9,311.0,8.0148243269491e-05,ELUN,Elun Mask,9.0
EZNFFvmhMMcjmSn3hmYfdFcmVWcPnhk82ZUbDn4rTGwj,315.0,0.0003318135234315,Iroha,イロハ,9.0
7dRjkb5VFQPGZt6sLusXay8scS8SdAbCssHP31cja1Jq,617.0,,,,
75QJAgaQMjNF2rx6WN49y3tzqX77CmNfkU7KrVqGsFhD,286.0,0.0003346114613479,WhetWhaul,Da Whet Whaul,9.0
zrDf6UZrQpQcTBwewxpZAQwqs8hE1Z4mRfuMcSCpump,605.0,4.85129955822096e-06,MTS,Monitoring The Situation,9.0
61FmYHfGq9k4QGHJVEjBqNcLQqc1CAW6HrjegBHtwHmh,311.0,0.0004068502390318,cypher,cyphercapitalism,9.0
HbunA2iCkxZrVAtJNxxjFBsZ9ECp1i6V8KKCTGbpiQDJ,340.0,8.3156899563286e-05,DOGE,DogeCoin Financial Solutions LLC,9.0
5JJwsTTcfvRKL9sjD3vGsrhSH98a5osNtBoxBFgHTfug,322.0,8.4601366068324e-05,Chomp,Chromatic Chomp,9.0
3dCnum8MvccVrdhhGUMX17x2XVht2d4HpmXG3cjr6kC6,348.0,0.000431782388049,CAPTCHA,Captcha (captcha.social),9.0
3sPai8EJFiN5JQXwArEHBvS51ysj6Vo5sNKiHbjytNtG,353.0,8.4389291282859e-05,MEW,mew,9.0
ZL16TcL4w2PHfE1XK9WiQKKcuBcVy56dcrynJD6pump,573.0,2.75957937243396e-06,AOW,Art Of Word,9.0
