front_signer,epoch,n,victims,usd
3ZPJW3uMqgrCAht7oLAKvm26smeEw3H1AeoVkXBefp68,958,17,17,44.15149999999997
3ZPJW3uMqgrCAht7oLAKvm26smeEw3H1AeoVkXBefp68,959,12,12,39.874067119999694
2YMM3oZ9g6Dw4MBbj7yHQ9EaKRAKstDTMdPBk3LmH7hD,960,8,8,478.4837896800013
FT3gXM7CjL1rYfoRoBmjgPGb2bqtYv2AwsTHXE7L8evV,959,6,6,105.67819591999952
2YMM3oZ9g6Dw4MBbj7yHQ9EaKRAKstDTMdPBk3LmH7hD,951,5,5,245.45446439999918
HZ6jYBZU9vfEzNoTM4MkGvYHUK6AeKfTTDA4FknnFxMT,960,4,4,240.2728553746248
2YMM3oZ9g6Dw4MBbj7yHQ9EaKRAKstDTMdPBk3LmH7hD,957,4,4,215.4958946399991
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,958,2,2,35.63415152000033
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,957,2,2,39.39674663999973
2YMM3oZ9g6Dw4MBbj7yHQ9EaKRAKstDTMdPBk3LmH7hD,952,2,2,115.04700208000006
2YMM3oZ9g6Dw4MBbj7yHQ9EaKRAKstDTMdPBk3LmH7hD,953,2,2,112.83056239999979
2YMM3oZ9g6Dw4MBbj7yHQ9EaKRAKstDTMdPBk3LmH7hD,958,2,2,137.25674039999973
2YMM3oZ9g6Dw4MBbj7yHQ9EaKRAKstDTMdPBk3LmH7hD,959,2,2,120.78117311999989
FT3gXM7CjL1rYfoRoBmjgPGb2bqtYv2AwsTHXE7L8evV,960,2,2,39.292822240000014
2YMM3oZ9g6Dw4MBbj7yHQ9EaKRAKstDTMdPBk3LmH7hD,956,2,2,114.28527592000023
DY9bRzD5pab4yY3sJqvphpRY9yK7ox9mpcYchDtMCTKs,953,1,2,-0.14588819643082118
DXNeWBRBmcQmYSXqDMRoqpuMWhDQfw6EZajdxfDkZqPP,946,1,2,-0.01378095889605413
Dt3MsjnL7UL6fNk7m6szT9aqPQhb8bpo78c3Ms8j9hxe,960,1,1,-0.009488642461457641
DoP2W3exgJygUd5LPC491Gbxj4xHQFgCTCXFFGhTkQ9B,957,1,1,-0.07572185478267546
DnQ9GKtZftePUdRf597meHzc2VeoQL1h5Q5y4B4AUwgu,957,1,2,-0.007770092266894957
DkK6RapncbyzLSyf664V5UR3R5jpGHbx3SAyrEyaTtQp,960,1,1,-0.062020013878612
Dk9xratXxwv1KxGytCENCJfB3ATB4bsbkDxwXTBdiK97,958,1,2,-0.015294848287212837
Dk6Ty2pJE6R94eTtDuSncXHrp3Wq8HMx899JAVYHptch,960,1,1,-0.01445769972143962
DjsxsW9yQj7RZSgym7781Lpqh12RD13sfaB57ZZPJwnp,958,1,1,-0.046313135463054156
DZZAHccgWvUihKfyQeVgRzBiJQjqY4e4Lotd4H8YtDqj,959,1,2,-0.008634661352805717
DjgT6aZaKjvocRsRaw57kPpBpNFsLBsbN55R7fHmMPpR,959,1,1,-0.04916533445886939
DjLvzYcCXGJHWeXf2vs6rZqcjNfZ4NTKtRkwuEwYD9MJ,959,1,1,-0.015382839385078007
DjLPEFSPbUuJWSYokYxkE9wmTQRVrSBYT6xGwaxB5A9R,959,1,1,-0.0709666003645637
DjKM3dL7CtBpaWdJThUUWFiAKsQqqDNmPFpqEoUL3gJr,960,1,1,-0.26601706053589247
Div6iFd9iQEmvZM4sP6HGgdKGs62oPUzKZXqrmWtz2PV,950,1,1,-0.1458938115167019
DiTYC1RBGNemkEyddE1RTxC2Bax9j3WVtKnh4wmNxymy,957,1,2,-0.011166825389474777
DabJeEC9Gr65QVwDGupHPDc9wNdhoe2oYG5DmaGuYsgt,957,1,2,-0.1718016484567908
DTe6QWoGps8ZMunkmZJsGXDkm9phr5rHF1CgFNiLAZLD,958,1,2,0.035455565146379486
Djnkd285MwByi5pynzxFoKhSWccisCoKddCwnjhF22yk,960,1,1,-0.0004210088523345923
D2yMLCu2kNd7TkVFePTTFru2HeCRCYdKGdWdnc978rnW,957,1,2,-0.17079768223979386
D2zJ9D6KJKK5sd5o5qJmUGF3ryKThtqURUxpW6RaPDXJ,951,1,2,-0.07422224791277854
D3KBxwc2PjDjmGPgL4J7EtU2qG8nbPzcTs6gwEw8391s,952,1,1,0.004378665009876492
D5F5jVbYuusH3rNb9ZJYwK7nCoeUw6sBS3N7nkcqAUB1,957,1,1,-0.05816464440341118
D73VmvccvXNsBRCH4hyunwTmUUdfpTxTJe7uUHGndojG,947,1,1,-0.014511665194024137
D7dx5wPREVLsCfb8rqat9GshYnPjCbGS7t7HKuy3NP8,959,1,1,-0.06285357272300507
DA4pNKQcuh9n5sdu34b7sus3BdFoEgSXoeh8XpkF2bZu,959,1,1,-0.028010669176762315
DAYQJ2eTxopqk6UnTtYmJz2pgfLjRoqRNmZjf3mGU6cW,957,1,1,-0.09042796597605651
DB1RxnxdgWmtcDQNpxh9mZGAyUujWNJSrNguz4K6X8UP,957,1,1,-0.09538934308704228
DCV7FFBVdGMwWKL8G4khujsCdsVwwFpbVbt8QXFGi9NT,958,1,2,-0.018049493723683585
DDkURf6DrJJh2TSm8UzeUfdhV1sLpbXoxbXxmRpQPSTc,946,1,2,-0.0927199265849099
Dr7MmzgzU1rTuPWt7jeUCER3pEETyfUhLFbGPSFZGHzi,960,1,2,-0.145385570376102
DFzJJ2S7YvZsEsPHVMkhfmbLxzEDi7KmYzm1GZdUdadD,959,1,1,-0.167656813462278
