front_signer,epoch,n,victims,usd,fee_sol,usd_net
EpxkAcSi29vtEzSfhBigJ9zoCKsYySY46VM4fdtCUcpy,974,200,200,746.7381986400027,0.0314,744.2261986400027
WzMaL78srutrF6CsxEkWuhMaDF5HZA6jNRaEPengqpb,989,21,21,60.23549392000213,0.001182216,60.140916640002125
3ZPJW3uMqgrCAht7oLAKvm26smeEw3H1AeoVkXBefp68,958,17,17,44.15149999999997,0.020569999999999998,42.50589999999997
64uFfwUtFinZxLxzSqmXB1r3yPYUgaskNtCgeWtyrcaH,963,17,20,96.28022640000016,0.00017,96.26662640000016
3ZPJW3uMqgrCAht7oLAKvm26smeEw3H1AeoVkXBefp68,959,12,12,39.874067119999694,0.014519999999999998,38.712467119999694
2YMM3oZ9g6Dw4MBbj7yHQ9EaKRAKstDTMdPBk3LmH7hD,960,8,8,478.48378968000134,0.00168,478.34938968000125
H25zzFh5MHbJgd97RQFwyKuFLCSLrpfYgqocqsA1B3ty,979,6,6,16.79107160000033,6.000000000000001e-05,16.78627160000033
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,974,6,6,111.17894783999998,0.0009419999999999999,111.10358783999996
FT3gXM7CjL1rYfoRoBmjgPGb2bqtYv2AwsTHXE7L8evV,959,6,6,105.67819591999952,0.0009419999999999999,105.60283591999954
2YMM3oZ9g6Dw4MBbj7yHQ9EaKRAKstDTMdPBk3LmH7hD,951,5,5,245.45446439999918,0.0010500000000000002,245.37046439999915
9hw9aQPRKSbQ1dRoZ7N1QyQsiQP89Due8BQtqgyCmpHo,961,4,4,4864.196141673186,4e-05,4864.1929416731855
2YMM3oZ9g6Dw4MBbj7yHQ9EaKRAKstDTMdPBk3LmH7hD,957,4,4,215.4958946399991,0.00084,215.4286946399991
HZ6jYBZU9vfEzNoTM4MkGvYHUK6AeKfTTDA4FknnFxMT,960,4,4,240.2728553746248,4e-05,240.26965537462482
2m7xAdkdWQpjmztJrRMxjaaqfyFKJVHuFtUkX7YXT4Lx,973,4,4,1.850888086171647,4e-05,1.850088086171647
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,990,4,4,61.35155535999935,0.000628,61.30131535999935
83UitzMdQyLy1NBh3vXooBNaXmYwcfoa5fxMvCKNSdyY,961,4,4,4096.939251032151,4e-05,4096.936051032151
9ca5mFU8tp5qpPkwWFs5c5hJkT6fsmsLubcwctZZdjCA,979,4,4,9.583790880000294,4e-05,9.580590880000294
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,970,4,4,59.31176335999929,0.000628,59.26152335999929
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,971,4,4,64.87698399999968,0.000628,64.82674399999968
6F1PA4WkugBqt68rLoF85L2XuX2FJSYsL5tt66yMnoxT,961,3,3,3039.615069473766,3.0000000000000004e-05,3039.612669473766
DBDBK9C35DuSTwGGAvWyUwGYzVAYe9xNiNQMfSNthsTE,961,3,3,3849.6681686148777,3.0000000000000004e-05,3849.6657686148774
ESNMmCSv9XMjRzdj57kx53tiL5BeY9CymCnKf9tVv7rs,961,3,3,3262.7975163792607,3.0000000000000004e-05,3262.7951163792604
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,967,3,3,52.79279960000007,0.00047099999999999996,52.75511960000007
7biDMivLRQVu2m2s8w1LP6DEqxu1sjsTcF8W6fEErhXx,964,3,3,47.60947431999991,0.00047099999999999996,47.57179431999991
6ih1DUjsfaUvH8sdg3S7NTCEmdhrQ1CtkgY6N35Jgn3z,970,3,3,23.54084400000005,0.00047099999999999996,23.503164000000048
9ca5mFU8tp5qpPkwWFs5c5hJkT6fsmsLubcwctZZdjCA,976,3,3,7.885833999999963,3.0000000000000004e-05,7.883433999999963
4Xt8iEQMA75yUvhBxDqEyE7XSz7D97qRFa6gJ1JVM8MK,961,3,3,3808.870121049111,3.0000000000000004e-05,3808.8677210491105
3hmVguPzTSeR1cURg89eGC85NVZqXwLmreFiutQaN6oH,961,3,3,2692.980089835033,3.0000000000000004e-05,2692.977689835033
