token,sandwich_count,usd_price,symbol,name,decimals
SOL,12916936.0,80.0,SOL,Solana,9
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,226014.0,1.0,USDC,USD Coin,9.0
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,65589.0,1.0,USDT,USDT,9.0
EJM4jQrcS7ZgJ14x6k38kgBNwiM8YAXtB3AUn1ESwNYB,26452.0,0.955761200653525,ՍЅᎠΤ,ՍЅᎠΤ,9.0
AogRzeHHB6dw1x6JSUo236rBrQkguiDYELAmQYASBB9E,24823.0,0.0001979775450003,$VINNIEWIN,Vinnie The Gambler,9.0
3XkaF43BgL2LSRbTZTCi2qYvqo4Dvw3hTFrGj4K5ku1S,20858.0,4.423710426742e-05,SPCX,SPACEX IPO,9.0
5jJZtvLB6yNcsEf9eAWgB3sZ6d3DegjTETTd3E9dso6F,18618.0,0.0001266566692132,$EURO,European Union Reserved Oil,9.0
AKRyeix6T8iDZDPrBJQrWCu8xmZ6z8SR9gPpnUJoLQot,17824.0,0.000217085800212,$BOBLAX,Bob Lax,9.0
4D8qUHm334fxqeTauPvF8gQ7fYgrD4Mpmb1Wy6ftUSWR,16152.0,0.0008334540140192,USWR,United States Water Reserve,9.0
WxVxJEj2VoQreUdNoJbg17drUQcokxFvuRbpqQmM8zx,13512.0,0.0001393159985609,$Virgin,VirginCoin,9.0
7cxh48khSANGNFf9txGnP33PwvsedtfpiGXYptyoZzyh,11633.0,,,,
Gx4PUMm2bjNQL6rcJXJQCy2oC2U7KbMkretUVVJNvAhC,9638.0,0.0001327006276714,$GNUT,GOOD NUT,9.0
52sKqVPyHJTVDiRJwHTacxBvLk7rpDQgi2AiPyfz67K,8199.0,0.0001026356087835,mindset,golden retriever mindset,9.0
6e2JgoYk9b7RK84hYrHu8gU3ASqVjvNVUSFi1VwAaH22,8028.0,0.0001851698449478,SPCX,SpaceX,9.0
GHa7h45KhzkurrWh4iRPqRNFwsViTA2PdpJp1MkuXvH6,7817.0,7.1743954555782e-05,ASTERDOGE,Asteroid Doge,9.0
9NoujCP95riwjMAPAiASxoN4oXEdmmFXsL22mAmCrGTX,7788.0,,,,
2cEJhcFSjt2WnFQJ9QNxCrhRTSU2GQgcQNjL1GW8o39T,7648.0,4.8535933569673e-05,Trilly,The Trillion Bill,9.0
8cxNYGzAMpLGP7cyViYK5W3c4D3jnFsF9HEYrFnKBDo7,7367.0,,,,
2M4VvCwjxXs5hKGrdTgpRzCNdX6WzUfTqTdQxeujYqvy,7296.0,4.9185964862356e-05,왕바리,Big Bari,9.0
H8KddD9hrK9h8AnDfxCtx8YWyoM4JRFfF4Sz3WndRjis,7203.0,,,,
9ECdNritonaicm67YNTyTeLBo3o2TsSZy5UYpqP3k2pW,6932.0,0.0001837434563117,YIPPEE,yippee,9.0
5MvBt2t3fRFgD76En8t43rWNaA6FLgygEW4RvP4Zj4za,6806.0,,,,
4XCQKMhRrxWFMbx2jeCstgbyTf1sHg8aiiZtCN75a7Wm,6783.0,,,,
9tznT89VrH4PW2Srb1D8gdjRWoaFpgNXHuyqok8CT6jF,6746.0,0.0004017701752455,dca,don't care anymore,9.0
2Q3qgUBdf9n38JZ83Lp7YtTvnCpKXF8RprvE9ejowgf4,6725.0,3.7695506631914e-05,CloudCoin,CloudCoin,9.0
CaRExZ2d1yTMgauJH621CGskyYRCGy92n3ZoWgdf7mXK,6633.0,,,,
3ho8fpYowc5nknDCZ969ZVM2RndkiiXLQPCWPnvXFF46,6618.0,0.0001076293015806,A1len9,A1len9,9.0
6uviLiu8BC7rGovoFG18Bp3W4SkScozZstJR45ASbPaH,6608.0,,,,
46Svpn2tcuinBi5v5iCnCw6oQkx3eEKLkWJNNgbUTA4E,6596.0,,,,
32QZJt4MspdAdDuvRxv6PD2Xdpz5fTCRsMUBCBqFVQxt,6586.0,0.0030132598254227,Jakara,The Hacker,9.0
EdCh7qe77xLFw7qDVge1BF2xum44SKPdk8PXeBuWuYbC,6536.0,,,,
HqV8BNz8BvnkJLCEG37ezP2eWYaJ2Fh3LpdePsHCqBkh,6500.0,,,,
47kQ65bc4zH4cbkzJsGqVxaYzYdKgNYDJXiKmXJcpmFs,6301.0,,,,
BGLDooTMKvK4Yf1jo2TkuBgHCujVDjoQesppWW9ZmeLt,6281.0,0.0001585617019817,世界杯,FIFA World Cup🏆,9.0
CVqMQ1osbctasffXrv8M9EbrWsucjXpZ9ewQJzVQz1PC,6116.0,0.0002621620915411,$ALBERT,lbert the Monkey,9.0
DMp7sPD63Fe2Sd5ft3DvUBbCo8ck1fqp56X6E8QP7NWu,6070.0,,,,
5Xmw7iEkcZAegaomqDVdTEBGekRJrWop8qXVx94ixrhx,6022.0,5.301283457533e-06,3,3,9.0
EZYLJZuomDnCoYKL2ZknEg2HEYV4deALPeAqExWPhGdd,6000.0,0.0002153647988098,:),tokenized happiness,9.0
Ew4EW9iiMKNMvUGK7HjhimB5z8jMZqQx8QFtgtC7C1kM,5983.0,0.0001916467853192,VSK,Varsko Intelligence,9.0
EqDJuQHynEMcDts9MRJ9jJ9z897eEN2ZLE5uM5RCAvtF,5979.0,2.9744746928012e-05,usug,u sell u gay,9.0
5GxAuh8tfkmEMAUSF1m2sJXfVDFcGZfoeuemou81NSbb,5977.0,,,,
AXASVDKBZ6Zg4atUWGpCGRgpE4uxd2SVwYpNMBCBx8iB,5972.0,,,,
4YNrf87Nm4tVTViCZ9jRWa43BDYUeeyvBoUzMwk7sa8N,5952.0,,,,
FCwbCo1A9J55fj4b3A14sm3YMiyGMhtd77nTBNEzRhwq,5882.0,2.6682399788698e-05,OPSTR,OPSTR,9.0
BNipJt1LYH4d9DqcWYe1tDyLJzgkYv6YQ77fU45w5Cwk,5833.0,,,,
Dh1BHzKicHtgqUj7HD3yLxTyxLhJPvdTx6aLrR9ktgkq,5728.0,0.0001362549152035,S&P500,Shit And Piss 500,9.0
EswGDQ5RdNVDez6cGhkF2JeXKHwhhp9vmBoLtSy1avM2,5690.0,,,,
2CHF4AyaB7C9naAUEFqyzP85wpPDDwdPf5ChZNrPeBfN,5688.0,,,,
3qjZtwdbQv7bkmVu1Jdwt3RTgUEQMx1vpjgE1VHxopDR,5669.0,5.5622874708008e-05,SEX,SpaceXTeslaXAI,9.0
12NE1VUo1ysq83gHgrZoaDwaDR2eTNQk4T23WHh6sJBE,5661.0,,,,
3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,5594.0,0.000177591846601,BULL,Bull,9.0
B3nycShUzuumNKVxt2Xm4T1AuS614XWBcJJtRJqfyA8n,5572.0,0.0004053572742132,Ban-Chan,バンチャン,9.0
CY91CUNXBtkREVfvxfeS4D6TQVkUCAyy69muMAbQHHE3,5535.0,,,,
3F8jNS7s4iUskqK8aPafim6WzW3a5t9xchr9WBCAkEe8,5496.0,,,,
DvZo6vjPrS9ohNZRPWSgXPFFnJHKomK7ebzGrw9p9g91,5408.0,0.0007618457211069,Aliun,Aliun,9.0
FDGmdnAiziTizB9R9T3Gf2ChppgvTLFUnxPnY7tMqFto,5350.0,0.0003447722811384,LGBTQ,LGBTQ,9.0
